id,league_id,season_start_year,season_label
ENG_1_premier_league__2019_2020,ENG_1_premier_league,2019,2019/2020
ENG_1_premier_league__2020_2021,ENG_1_premier_league,2020,2020/2021
ENG_1_premier_league__2021_2022,ENG_1_premier_league,2021,2021/2022
ENG_1_premier_league__2022_2023,ENG_1_premier_league,2022,2022/2023
ENG_1_premier_league__2023_2024,ENG_1_premier_league,2023,2023/2024
ESP_1_la_liga__2019_2020,ESP_1_la_liga,2019,2019/2020
ESP_1_la_liga__2020_2021,ESP_1_la_liga,2020,2020/2021
ESP_1_la_liga__2021_2022,ESP_1_la_liga,2021,2021/2022
ESP_1_la_liga__2022_2023,ESP_1_la_liga,2022,2022/2023
ESP_1_la_liga__2023_2024,ESP_1_la_liga,2023,2023/2024
GER_1_bundesliga__2019_2020,GER_1_bundesliga,2019,2019/2020
GER_1_bundesliga__2020_2021,GER_1_bundesliga,2020,2020/2021
GER_1_bundesliga__2021_2022,GER_1_bundesliga,2021,2021/2022
GER_1_bundesliga__2022_2023,GER_1_bundesliga,2022,2022/2023
GER_1_bundesliga__2023_2024,GER_1_bundesliga,2023,2023/2024
ITA_1_serie_a__2019_2020,ITA_1_serie_a,2019,2019/2020
ITA_1_serie_a__2020_2021,ITA_1_serie_a,2020,2020/2021
ITA_1_serie_a__2021_2022,ITA_1_serie_a,2021,2021/2022
ITA_1_serie_a__2022_2023,ITA_1_serie_a,2022,2022/2023
ITA_1_serie_a__2023_2024,ITA_1_serie_a,2023,2023/2024
FRA_1_ligue_1__2019_2020,FRA_1_ligue_1,2019,2019/2020
FRA_1_ligue_1__2020_2021,FRA_1_ligue_1,2020,2020/2021
FRA_1_ligue_1__2021_2022,FRA_1_ligue_1,2021,2021/2022
FRA_1_ligue_1__2022_2023,FRA_1_ligue_1,2022,2022/2023
FRA_1_ligue_1__2023_2024,FRA_1_ligue_1,2023,2023/2024
