id,name,country
team_arsenal_1c90591709,Arsenal,
team_aston_villa_e14f25aaca,Aston Villa,
team_bournemouth_e89ee1adee,Bournemouth,
team_brighton_400cb45d51,Brighton,
team_burnley_84a1ecc324,Burnley,
team_chelsea_ac137c6ae0,Chelsea,
team_crystal_palace_cb02ff8773,Crystal Palace,
team_everton_72c5bde9f2,Everton,
team_leicester_763ed55010,Leicester,
team_liverpool_068942c83f,Liverpool,
team_manchester_city_c88d7f4083,Manchester City,
team_manchester_united_d265309404,Manchester United,
team_newcastle_united_9d1626b0af,Newcastle United,
team_norwich_1690bb6abe,Norwich,
team_sheffield_united_1e1981fa28,Sheffield United,
team_southampton_ebdbcdd0f4,Southampton,
team_tottenham_65b098e910,Tottenham,
team_watford_377b643aae,Watford,
team_west_ham_16dc18104d,West Ham,
team_wolverhampton_wanderers_0429a01c70,Wolverhampton Wanderers,
team_fulham_120826eebd,Fulham,
team_leeds_2307128583,Leeds,
team_west_bromwich_albion_c1bc2e3105,West Bromwich Albion,
team_brentford_9a4fe157e5,Brentford,
team_nottingham_forest_d878885785,Nottingham Forest,
team_luton_76700de7c6,Luton,
team_alaves_44334a6781,Alaves,
team_athletic_club_5b65f9eeae,Athletic Club,
team_atletico_madrid_0037f5d620,Atletico Madrid,
team_barcelona_eacb0d1b53,Barcelona,
team_celta_vigo_7fb9823827,Celta Vigo,
team_eibar_7d84cf9aaf,Eibar,
team_espanyol_77f416cfd1,Espanyol,
team_getafe_c767979c04,Getafe,
team_granada_2381d9d7fb,Granada,
team_leganes_6448c1ca9a,Leganes,
team_levante_187a4b7704,Levante,
team_mallorca_a0b0f0e90a,Mallorca,
team_osasuna_9b6f9d87e6,Osasuna,
team_real_betis_c9565d92f6,Real Betis,
team_real_madrid_c36b70fe72,Real Madrid,
team_real_sociedad_96733ae4ff,Real Sociedad,
team_real_valladolid_ba8e465e13,Real Valladolid,
team_sevilla_8cd9978fe7,Sevilla,
team_valencia_b0b29f110c,Valencia,
team_villarreal_5c6948b2f2,Villarreal,
team_cadiz_a4e3c38467,Cadiz,
team_elche_92f2306d01,Elche,
team_sd_huesca_b0e2f672b2,SD Huesca,
team_almeria_56e639bbeb,Almeria,
team_girona_744f4089b1,Girona,
team_rayo_vallecano_dd99cee7fd,Rayo Vallecano,
team_las_palmas_2eed1a5227,Las Palmas,
team_amiens_ceb60e306c,Amiens,
team_angers_1464576c81,Angers,
team_bordeaux_5c081408fd,Bordeaux,
team_brest_7b6a1fc3fc,Brest,
team_dijon_3e76448c3a,Dijon,
team_lille_1d21560347,Lille,
team_lyon_dcc69171d0,Lyon,
team_marseille_0880863af5,Marseille,
team_metz_fb742cb62b,Metz,
team_monaco_362728d1f1,Monaco,
team_montpellier_05a968f92e,Montpellier,
team_nantes_68b1135178,Nantes,
team_nice_5929e58a5a,Nice,
team_nimes_74f158a783,Nimes,
team_paris_saint_germain_cdad89ca66,Paris Saint Germain,
team_reims_05e9116196,Reims,
team_rennes_5a02bece29,Rennes,
team_saintetienne_48fe2142c3,Saint-Etienne,
team_strasbourg_6fc84c0ea3,Strasbourg,
team_toulouse_452c3c4bde,Toulouse,
team_lens_45d27f9672,Lens,
team_lorient_621fddfc80,Lorient,
team_ajaccio_95eb2dc66d,Ajaccio,
team_auxerre_5d59afef1f,Auxerre,
team_clermont_foot_25e793de67,Clermont Foot,
team_troyes_a0ed9010cc,Troyes,
team_le_havre_fff827656a,Le Havre,
team_augsburg_d7a9347927,Augsburg,
team_bayer_leverkusen_f39d97d3d8,Bayer Leverkusen,
team_bayern_munich_792f4490c9,Bayern Munich,
team_borussia_dortmund_4831a26fd6,Borussia Dortmund,
team_borussia_mgladbach_6e8828aa32,Borussia M.Gladbach,
team_eintracht_frankfurt_9e1d4be0c7,Eintracht Frankfurt,
team_fc_cologne_86914c9f54,FC Cologne,
team_fortuna_duesseldorf_bec1bc1682,Fortuna Duesseldorf,
team_freiburg_a4e788e061,Freiburg,
team_hertha_berlin_7682f073ec,Hertha Berlin,
team_hoffenheim_b99bb056f4,Hoffenheim,
team_mainz_05_972285e029,Mainz 05,
team_paderborn_28b4723b88,Paderborn,
team_rasenballsport_leipzig_528bb68081,RasenBallsport Leipzig,
team_schalke_04_c87da29dcf,Schalke 04,
team_union_berlin_e6accde206,Union Berlin,
team_werder_bremen_fb519c476e,Werder Bremen,
team_wolfsburg_e0c095c9b2,Wolfsburg,
team_arminia_bielefeld_20fda2e9c1,Arminia Bielefeld,
team_vfb_stuttgart_bbee8e44a7,VfB Stuttgart,
team_bochum_c69b527b3e,Bochum,
team_darmstadt_d3bf133282,Darmstadt,
team_fc_heidenheim_9499a93947,FC Heidenheim,
team_ac_milan_6a734bd16d,AC Milan,
team_atalanta_f7d4dba742,Atalanta,
team_bologna_6dbd74d7cc,Bologna,
team_brescia_6fc22c6e39,Brescia,
team_cagliari_1e4cf3df5c,Cagliari,
team_fiorentina_30d5ce9713,Fiorentina,
team_genoa_44aee99009,Genoa,
team_inter_b6708d593e,Inter,
team_juventus_0015d0367e,Juventus,
team_lazio_410ff625c3,Lazio,
team_lecce_dd2cfdb0ff,Lecce,
team_napoli_3bc33adbb7,Napoli,
team_parma_calcio_1913_243cb033cf,Parma Calcio 1913,
team_roma_a6b6ea31c4,Roma,
team_spal_2013_d2506be32c,SPAL 2013,
team_sampdoria_c2fcabe5d3,Sampdoria,
team_sassuolo_217a8f4c16,Sassuolo,
team_torino_4e1e0fd450,Torino,
team_udinese_010afe5cca,Udinese,
team_verona_d6707822c2,Verona,
team_benevento_98c0a6ad69,Benevento,
team_crotone_ea57201445,Crotone,
team_spezia_a2117bdcaf,Spezia,
team_cremonese_80bb42a5f5,Cremonese,
team_empoli_04060ae7aa,Empoli,
team_monza_33ecdebbb5,Monza,
team_salernitana_53606f91ea,Salernitana,
team_frosinone_7764700ff2,Frosinone,
