league,season,team,player,league_id,season,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup,source,player_std
ENG-Premier League,1920,Arsenal,Ainsley Maitland-Niles,1,2019,83,1750,D S,20,1372,0,0.5084082968533039,0,0.5084082968533039,2,1.6460967063903809,4,11,4,1,5.15650237724185,3.5671484656631947,understat,ainsley maitlandniles
ENG-Premier League,1920,Arsenal,Alexandre Lacazette,1,2019,83,3277,F S,30,1890,10,8.664644362404943,10,8.664644362404943,4,3.342292783781886,52,24,8,0,12.061309602111578,2.5056339018046856,understat,alexandre lacazette
ENG-Premier League,1920,Arsenal,Bernd Leno,1,2019,83,181,GK,30,2649,0,0.0,0,0.0,0,0.0,0,0,2,0,4.038203942589462,4.038203942589462,understat,bernd leno
ENG-Premier League,1920,Arsenal,Bukayo Saka,1,2019,83,7322,D F M S,26,1769,1,1.1424380782991648,1,1.1424380782991648,5,3.680352535098791,13,21,6,0,7.812512021511793,5.022922188043594,understat,bukayo saka
ENG-Premier League,1920,Arsenal,Calum Chambers,1,2019,83,508,D S,14,1102,1,0.6329499976709485,1,0.6329499976709485,1,2.2414444722235203,12,7,5,0,4.406147539615631,3.21046981215477,understat,calum chambers
ENG-Premier League,1920,Arsenal,Cédric Soares,1,2019,83,847,D S,21,1567,1,0.6565496101975441,1,0.6565496101975441,1,0.829959399998188,10,12,1,0,3.0438965931534767,1.997347492724657,understat,cédric soares
ENG-Premier League,1920,Arsenal,Dani Ceballos,1,2019,83,2446,M S,24,1722,0,0.47007399424910545,0,0.47007399424910545,2,1.5761437863111496,13,28,1,0,8.6631198246032,7.352911818772554,understat,dani ceballos
ENG-Premier League,1920,Arsenal,David Luiz,1,2019,83,1676,D S,33,2818,2,1.560154115781188,2,1.560154115781188,1,0.7974876035004854,23,4,5,2,9.724230770021677,8.911327958106995,understat,david luiz
ENG-Premier League,1920,Arsenal,Eddie Nketiah,1,2019,83,6482,F S,13,629,2,3.4787297137081623,2,3.4787297137081623,0,0.631174492649734,15,5,0,1,4.134649693965912,0.5784084871411324,understat,eddie nketiah
ENG-Premier League,1920,Arsenal,Emile Smith-Rowe,1,2019,83,7230,M S,2,96,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,understat,emile smithrowe
ENG-Premier League,1920,Arsenal,Emiliano Martinez,1,2019,83,4401,GK S,9,771,0,0.0,0,0.0,0,0.0,0,0,2,0,0.9078709222376347,0.9078709222376347,understat,emiliano martinez
ENG-Premier League,1920,Arsenal,Gabriel Martinelli,1,2019,83,7752,M S,14,643,3,2.2424831092357635,3,2.2424831092357635,0,0.11354190111160278,12,2,1,0,2.9959328081458807,0.639907518401742,understat,gabriel martinelli
ENG-Premier League,1920,Arsenal,Granit Xhaka,1,2019,83,204,M S,31,2598,1,0.5712299924343824,1,0.5712299924343824,2,0.972196189686656,11,16,10,0,12.973864022642374,12.263061579316854,understat,granit xhaka
ENG-Premier League,1920,Arsenal,Henrikh Mkhitaryan,1,2019,83,317,M S,3,109,0,0.4295176938176155,0,0.4295176938176155,0,0.27430200576782227,2,2,1,0,0.8670729994773865,0.2900702953338623,understat,henrikh mkhitaryan
ENG-Premier League,1920,Arsenal,Héctor Bellerín,1,2019,83,492,D M S,15,1164,1,0.43250470235943794,1,0.43250470235943794,0,0.449982613325119,7,3,2,0,4.190358854830265,3.453752614557743,understat,héctor bellerín
ENG-Premier League,1920,Arsenal,Joe Willock,1,2019,83,6630,M S,29,819,1,2.320996392518282,1,2.320996392518282,1,1.0468105915933847,15,12,2,0,5.5602357145398855,3.183693516999483,understat,joe willock
ENG-Premier League,1920,Arsenal,Kieran Tierney,1,2019,83,8089,D M S,15,996,1,0.22836239449679852,1,0.22836239449679852,1,0.7536174207925797,6,6,2,0,2.8807710334658623,2.309806341305375,understat,kieran tierney
ENG-Premier League,1920,Arsenal,Lucas Torreira,1,2019,83,1227,M S,29,1496,1,1.4572498127818108,1,1.4572498127818108,1,0.8258084943518043,21,13,7,0,6.481221791356802,4.913524277508259,understat,lucas torreira
ENG-Premier League,1920,Arsenal,Matteo Guendouzi,1,2019,83,5759,M S,24,1744,0,0.5298995021730661,0,0.5298995021730661,1,1.0633035972714424,11,12,6,0,6.531604591757059,5.212481122463942,understat,matteo guendouzi
ENG-Premier League,1920,Arsenal,Mesut Özil,1,2019,83,499,M,18,1472,1,1.708274181932211,1,1.708274181932211,2,2.2874074801802635,9,37,1,0,8.399060912430286,6.210026806220412,understat,mesut ozil
ENG-Premier League,1920,Arsenal,Nacho Monreal,1,2019,83,495,D,3,270,0,0.043980300426483154,0,0.043980300426483154,0,0.4594329968094826,1,3,0,0,0.6670902036130428,0.5824291966855526,understat,nacho monreal
ENG-Premier League,1920,Arsenal,Nicolas Pepe,1,2019,83,5656,F M S,31,2021,5,5.069304745644331,4,4.308138769119978,5,4.904218332841992,50,39,4,0,10.924232121556997,4.814494911581278,understat,nicolas pepe
ENG-Premier League,1920,Arsenal,Pablo Marí,1,2019,83,8380,D,2,113,0,0.0,0,0.0,0,0.0,0,0,0,0,0.5135990083217621,0.5135990083217621,understat,pablo marí
ENG-Premier League,1920,Arsenal,Pierre-Emerick Aubameyang,1,2019,83,318,F M S,36,3143,22,16.352621614933014,20,14.830358684062958,3,4.492486532777548,93,26,3,1,19.964279878884554,5.339654562994838,understat,pierreemerick aubameyang
ENG-Premier League,1920,Arsenal,Reiss Nelson,1,2019,83,6492,F M S,17,621,1,1.2735872119665146,1,1.2735872119665146,0,0.3629353968426585,11,9,1,0,1.9280117973685265,0.7598887234926224,understat,reiss nelson
ENG-Premier League,1920,Arsenal,Rob Holding,1,2019,83,1749,D S,8,576,0,0.10935600101947784,0,0.10935600101947784,0,0.0,2,0,1,0,0.4436413124203682,0.4436413124203682,understat,rob holding
ENG-Premier League,1920,Arsenal,Sead Kolasinac,1,2019,83,342,D M S,26,1687,0,0.2549881963059306,0,0.2549881963059306,2,1.334304090589285,4,10,4,0,8.02809800952673,7.041230961680412,understat,sead kolasinac
ENG-Premier League,1920,Arsenal,Shkodran Mustafi,1,2019,83,1699,D S,15,1208,0,0.5680257026106119,0,0.5680257026106119,1,0.5758727826178074,11,3,2,0,4.499943673610687,3.9672136902809143,understat,shkodran mustafi
ENG-Premier League,1920,Arsenal,Sokratis,1,2019,83,371,D,19,1698,2,1.4505057297647,2,1.4505057297647,0,0.7529760003089905,7,2,6,0,4.342150938697159,4.342150938697159,understat,sokratis
ENG-Premier League,1920,Aston Villa,Ahmed Elmohamady,1,2019,71,1685,D M S,18,1007,1,0.19573410134762526,1,0.19573410134762526,1,2.220943322405219,5,22,1,0,3.627543732523918,2.725653551518917,understat,ahmed elmohamady
